sensor_id,t_unix,packet_counter,roll_deg,pitch_deg,yaw_deg
XDA.XsDeviceId,1790001307.809812,334,0.258,-0.799,-68.327
XDA.XsDeviceId,1790001307.825353,335,0.259,-0.792,-68.326
XDA.XsDeviceId,1790001307.833087,336,0.258,-0.790,-68.331
XDA.XsDeviceId,1790001307.848311,337,0.252,-0.783,-68.332
XDA.XsDeviceId,1790001307.864056,338,0.249,-0.785,-68.340
XDA.XsDeviceId,1790001307.880011,339,0.127,-1.065,-67.802
XDA.XsDeviceId,1790001307.911922,340,0.127,-1.064,-67.799
XDA.XsDeviceId,1790001307.927999,341,0.128,-1.065,-67.804
XDA.XsDeviceId,1790001307.943720,342,0.128,-1.066,-67.802
XDA.XsDeviceId,1790001307.959654,343,0.128,-1.067,-67.800
XDA.XsDeviceId,1790001307.975707,344,0.131,-1.067,-67.789
XDA.XsDeviceId,1790001307.991663,345,0.131,-1.068,-67.782
XDA.XsDeviceId,1790001308.007584,346,0.132,-1.068,-67.783
XDA.XsDeviceId,1790001308.023363,347,0.130,-1.067,-67.782
XDA.XsDeviceId,1790001308.039089,348,0.131,-1.067,-67.786
XDA.XsDeviceId,1790001308.055059,349,0.132,-1.067,-67.788
XDA.XsDeviceId,1790001308.071137,350,0.134,-1.067,-67.792
XDA.XsDeviceId,1790001308.087008,351,0.133,-1.068,-67.792
XDA.XsDeviceId,1790001308.103040,352,0.133,-1.069,-67.793
XDA.XsDeviceId,1790001308.119100,353,0.134,-1.069,-67.791
XDA.XsDeviceId,1790001308.135028,354,0.136,-1.069,-67.793
XDA.XsDeviceId,1790001308.150926,355,0.136,-1.069,-67.794
XDA.XsDeviceId,1790001308.166855,356,0.136,-1.069,-67.796
XDA.XsDeviceId,1790001308.182927,357,0.135,-1.069,-67.803
XDA.XsDeviceId,1790001308.198936,358,0.136,-1.070,-67.808
XDA.XsDeviceId,1790001308.214887,359,0.138,-1.070,-67.803
XDA.XsDeviceId,1790001308.230771,360,0.138,-1.071,-67.808
XDA.XsDeviceId,1790001308.262727,361,0.137,-1.069,-67.812
XDA.XsDeviceId,1790001308.278717,362,0.138,-1.069,-67.807
XDA.XsDeviceId,1790001308.294662,363,0.138,-1.069,-67.808
XDA.XsDeviceId,1790001308.310593,364,0.138,-1.070,-67.812
XDA.XsDeviceId,1790001308.326345,365,0.137,-1.068,-67.816
XDA.XsDeviceId,1790001308.342126,366,0.137,-1.069,-67.813
XDA.XsDeviceId,1790001308.358087,367,0.140,-1.070,-67.811
XDA.XsDeviceId,1790001308.374116,368,0.137,-1.070,-67.812
XDA.XsDeviceId,1790001308.389944,369,0.138,-1.072,-67.813
XDA.XsDeviceId,1790001308.406029,370,0.138,-1.072,-67.814
XDA.XsDeviceId,1790001308.422019,371,0.138,-1.071,-67.817
